id,time
39911,14:31 9 June 2011
39914,14:34 9 June 2011
39934,16:06 9 June 2011
39935,16:07 9 June 2011
39936,16:08 9 June 2011
39938,21:58 9 June 2011
39939,21:59 9 June 2011
39940,22:00 9 June 2011
39960,11:45 10 June 2011
39965,12:02 10 June 2011
39970,15:09 10 June 2011
39973,16:34 10 June 2011
39977,16:53 10 June 2011
39994,08:22 11 June 2011
40004,00:49 12 June 2011
40023,15:22 12 June 2011
40024,15:28 12 June 2011
40034,01:49 13 June 2011
40036,08:35 13 June 2011
40131,20:57 13 June 2011
40138,23:26 13 June 2011
40147,08:53 14 June 2011
40148,09:32 14 June 2011
40153,11:00 14 June 2011
40154,11:00 14 June 2011
40174,14:04 14 June 2011
40180,14:22 14 June 2011
40181,14:22 14 June 2011
40182,14:23 14 June 2011
40184,14:37 14 June 2011
40189,14:55 14 June 2011
40192,14:58 14 June 2011
40197,15:14 14 June 2011
40198,15:18 14 June 2011
40228,23:58 14 June 2011
40240,14:24 15 June 2011
40244,18:06 15 June 2011
40261,10:46 16 June 2011
40268,11:06 16 June 2011
40280,13:22 16 June 2011
40281,13:22 16 June 2011
40283,13:24 16 June 2011
40291,14:52 16 June 2011
40304,17:05 16 June 2011
40324,19:58 16 June 2011
40325,19:59 16 June 2011
40328,21:44 16 June 2011
40333,22:32 16 June 2011
40354,00:42 17 June 2011
40355,00:43 17 June 2011
40367,10:23 17 June 2011
40368,10:24 17 June 2011
40424,06:33 18 June 2011
40480,17:36 20 June 2011
40487,21:39 20 June 2011
40502,00:05 21 June 2011
40647,00:13 22 June 2011
40649,00:47 22 June 2011
40772,12:43 23 June 2011
40794,16:37 23 June 2011
40795,16:42 23 June 2011
40886,20:33 26 June 2011
40899,12:25 27 June 2011
